m-M	e(m-M)	d(Mpc)	e(Mpc)
28.96	0.11	6.19	0.936
29.04	0.08	6.43	0.936
29.04	0.05	6.43	0.936
29.05	0.14	6.46	0.936
29.06	0.11	6.49	0.936
29.1	0.01	6.61	0.936
29.13	0.11	6.7	0.936
29.13	0.11	6.7	0.936
29.14	0.05	6.71	0.936
29.14	0.01	6.72	0.936
29.14	0.09	6.73	0.936
29.14	0.03	6.74	0.936
29.16	0.09	6.79	0.936
29.17	0.01	6.81	0.936
29.17	0.03	6.83	0.936
29.18	0.08	6.85	0.936
29.2	0.08	6.91	0.936
29.2	0.03	6.91	0.936
29.2	0.07	6.92	0.936
29.21	0.09	6.95	0.936
29.21	0.17	6.95	0.936
29.23	0.07	7.01	0.936
29.24	0.08	7.05	0.936
29.26	0.15	7.11	0.936
29.27	NaN	7.14	0.936
29.3	NaN	7.24	0.936
29.3	0.07	7.24	0.936
29.3	0.07	7.24	0.936
29.34	0.1	7.38	0.936
29.34	0.08	7.38	0.936
29.34	0.1	7.38	0.936
29.37	0.01	7.48	0.936
29.38	NaN	7.52	0.936
29.39	0.07	7.55	0.936
29.45	0.08	7.76	0.936
29.58	0.09	8.24	0.936
29.59	NaN	8.28	0.936
29.71	0.18	8.75	0.936
29.77	0.09	8.99	0.936
29.36	0.15	7.45	0.936
29.42	0.13	7.66	0.936
29.42	0.15	7.7	0.936
28.86	0.12	5.92	0.936
28.87	0.17	5.94	0.936
28.91	0.33	6.05	0.936
28.91	0.2	6.05	0.936
28.93	0.16	6.11	0.936
28.93	0.2	6.11	0.936
28.94	0.13	6.14	0.936
28.94	0.18	6.14	0.936
28.98	0.27	6.25	0.936
28.99	0.19	6.28	0.936
29.0	0.26	6.31	0.936
29.01	0.11	6.34	0.936
29.01	NaN	6.34	0.936
29.04	0.18	6.43	0.936
29.05	0.08	6.46	0.936
29.06	0.13	6.49	0.936
29.08	0.19	6.55	0.936
29.08	0.15	6.55	0.936
29.08	0.14	6.55	0.936
29.1	0.08	6.61	0.936
29.11	0.27	6.64	0.936
29.11	NaN	6.64	0.936
29.13	0.01	6.69	0.936
29.17	0.19	6.82	0.936
29.17	0.15	6.82	0.936
29.23	0.07	7.01	0.936
29.3	NaN	7.24	0.936
29.33	NaN	7.35	0.936
29.38	NaN	7.52	0.936
28.94	0.34	6.14	0.936
29.05	0.06	6.46	0.936
29.09	0.34	6.58	0.936
29.12	0.04	6.66	0.936
29.12	0.14	6.68	0.936
29.14	0.32	6.73	0.936
29.14	0.32	6.73	0.936
29.15	0.04	6.75	0.936
29.15	0.02	6.75	0.936
29.16	0.02	6.79	0.936
29.17	0.02	6.81	0.936
29.17	0.13	6.81	0.936
29.19	0.04	6.87	0.936
29.19	0.14	6.89	0.936
29.29	0.33	7.21	0.936
29.3	0.01	7.24	0.936
29.34	0.09	7.38	0.936
29.42	0.11	7.66	0.936
29.06	0.83	6.5	0.936
29.35	0.4	7.4	0.936
29.4	0.58	7.6	0.936
28.4	NaN	4.79	0.936
28.9	NaN	6.03	0.936
29.2	NaN	6.92	0.936
29.3	NaN	7.24	0.936
29.62	0.41	8.39	0.936
28.6	0.2	5.25	0.936
29.4	0.16	7.59	0.936
28.6	NaN	5.25	0.936
29.21	0.06	6.95	0.936
27.07	NaN	2.6	0.936
27.84	NaN	3.7	0.936
27.96	NaN	3.9	0.936
28.11	NaN	4.19	0.936
28.42	NaN	4.83	0.936
28.65	0.4	5.4	0.936
28.7	NaN	5.5	0.936
28.71	NaN	5.52	0.936
28.97	0.02	6.22	0.936
29.0	NaN	6.31	0.936
29.01	0.33	6.34	0.936
29.2	0.5	6.92	0.936
28.18	0.28	4.33	0.936
28.8	NaN	5.75	0.936
29.35	0.38	7.4	0.936
